"district","median_age","total_va","male_va","female_va","pvi_margin","status","margin_percent"
"Rhode Island 01","39.3","401,833","193,471","208,362",12,"Incumbent D",NA
"Rhode Island 02","40.8","422,683","205,218","217,465",4,"Open",NA
"South Carolina 01","40.8","559,128","273,621","285,507",-7,"Incumbent R",NA
"South Carolina 02","39.1","551,316","263,617","287,699",-8,"Incumbent R",NA
"South Carolina 03","40.9","561,509","272,786","288,723",-21,"Incumbent R",NA
"South Carolina 04","38.1","538,686","257,184","281,502",-12,"Incumbent R",NA
"South Carolina 05","40.0","549,969","264,383","285,586",-12,"Incumbent R",NA
"South Carolina 06","36.5","568,242","269,040","299,202",14,"Incumbent D",NA
"South Carolina 07","44.7","576,739","272,267","304,472",-11,"Incumbent R",NA
"South Dakota AL","37.5","656,517","331,828","324,689",-16,"Incumbent R",NA
"Tennessee 01","44.0","606,556","295,896","310,660",-30,"Incumbent R",-58.61
"Tennessee 02","39.9","597,442","289,339","308,103",-18,"Incumbent R",-35.83
"Tennessee 03","41.1","593,968","287,578","306,390",-19,"Incumbent R",-38.04
"Tennessee 04","37.8","571,216","280,754","290,462",-22,"Incumbent R",-44.83
"Tennessee 05","37.8","542,570","260,526","282,044",-9,"Open",-13.7
"Tennessee 06","39.3","587,271","287,955","299,316",-17,"Incumbent R",-32.69
"Tennessee 07","35.7","577,641","281,450","296,191",-10,"Incumbent R",-21.84
"Tennessee 08","41.4","581,091","282,229","298,862",-21,"Incumbent R",-49.69
"Tennessee 09","34.4","548,913","251,862","297,051",22,"Incumbent D",43.81
"Texas 01","38.3","550,741","268,495","282,246",-26,"Open",-56.18
"Texas 02","35.5","486,338","238,985","247,353",-15,"Incumbent R",-33.09
